Sample_name,Longtitude,Latitude,SampleType
RIS,174.46263,-80.65767,RIS
ERR3589553,79.0604,78.9354,Epi
ERR3589554,91.8557,78.2518,Epi
ERR3589555,117.1545,77.9028,Epi
ERR3589556,-168.1333,73.3833,Epi
ERR3589557,-154.9101,71.8895,Epi
ERR3589558,-85.7806,74.2987,Epi
ERR3589559,-71.892,72.4693,Epi
ERR3589560,-53.5127,70.9433,Meso
ERR3589561,-53.5989,70.9574,Epi
ERR3589562,-52.996,64.7,Meso
ERR3589563,-55.9846,61.5754,Meso
ERR3589564,0.3964,67.161,Epi
ERR3589565,44.102,72.5432,Epi
ERR3589566,79.4201,78.9564,Epi
ERR3589567,66.4827,79.2026,Epi
ERR3589568,76.1478,74.8023,Epi
ERR3589569,116.6556,77.9668,Epi
ERR3589570,116.4105,78.0391,Meso
ERR3589571,-168.8142,73.3275,Epi
ERR3589572,-85.6208,74.3386,Epi
ERR3589573,-85.6552,74.305,Meso
ERR3589574,-71.8814,72.4456,Meso
ERR3589575,-51.5086,69.1136,Epi
ERR3589576,-53.0106,64.7127,Epi
ERR3589577,66.3435,79.2233,Epi
ERR3589578,76.2096,74.8283,Epi
ERR3589579,91.6084,78.3555,Epi
ERR3589580,160.9383,71.5955,Epi
ERR3589581,174.9916,71.0704,Epi
ERR3589582,-55.9869,61.5427,Epi
ERR3589583,-16.7943,54.5451,Epi
ERR3589584,-16.8345,54.5742,Meso
ERR3589585,0.2177,67.1675,Meso
ERR3589586,1.3918,76.1825,Epi
ERR3589587,44.0552,72.5199,Epi
ERR3589588,44.0775,72.5128,Epi
ERR3589589,66.2954,79.3349,Epi
ERR3589590,73.2057,77.1604,Epi
ERR3589591,-16.9377,54.5305,Epi
ERR3589592,0.2355,67.141,Epi
ERR3589593,1.3648,76.1246,Meso
MSP_1,2.448,40.832,Bathy
MSP_10,-124.49,15.91,Bathy
MSP_11,-179.52,-25.49,Bathy
MSP_12,-150.35,21.06,Bathy
MSP_13,-170.77,-5.74,Bathy
MSP_14,-170.77,-5.74,Bathy
MSP_15,-27.33,-3.03,Bathy
MSP_16,135.19,-39.23,Bathy
MSP_17,110.18,-31.16,Bathy
MSP_18,103.31,-30.33,Bathy
MSP_19,150.41,-38.64,Bathy
MSP_2,-17.26,32.08,Bathy
MSP_20,82.62,-29.81,Bathy
MSP_21,82.62,-29.81,Bathy
MSP_22,92.99,-29.65,Bathy
MSP_23,92.99,-29.65,Bathy
MSP_24,63.25,-27.98,Bathy
MSP_25,63.25,-27.98,Bathy
MSP_26,39.89,-33.55,Bathy
MSP_27,-11.8,-28.62,Bathy
MSP_28,-21.43,-26.91,Bathy
MSP_29,6.84,-31.81,Bathy
MSP_3,-17.26,32.08,Bathy
MSP_30,12.77,-32.81,Bathy
MSP_31,-36.95,-22.97,Bathy
MSP_32,-36.95,-22.97,Bathy
MSP_33,-33.41,-15.83,Bathy
MSP_34,-33.41,-15.83,Bathy
MSP_35,-30.19,-9.12,Bathy
MSP_36,-30.19,-9.12,Bathy
MSP_37,-26,14.52,Bathy
MSP_38,-27.33,-3.03,Bathy
MSP_39,-26,14.52,Bathy
MSP_4,-99.25,10.09,Bathy
MSP_40,-26,7.33,Bathy
MSP_41,-26,7.33,Bathy
MSP_42,-23.45,21.51,Bathy
MSP_43,-23.45,21.51,Bathy
MSP_5,-52.63,20,Bathy
MSP_6,-99.25,10.09,Bathy
MSP_7,-108.06,12,Bathy
MSP_8,-133.26,18.04,Bathy
MSP_9,-163.53,9.22,Bathy
Polar_lib_1,179.55,80.03,Epi
Polar_lib_10,4.01,70.2,Meso
Polar_lib_11,179.55,80.03,Bathy
Polar_lib_12,179.55,80.03,Epi
Polar_lib_13,-110,-67.02,Meso
Polar_lib_14,-110,-67.02,Bathy
Polar_lib_15,-120,-68.01,Meso
Polar_lib_16,-110,-67.02,Epi
Polar_lib_17,2.34,74.33,Epi
Polar_lib_18,2.34,74.33,Meso
Polar_lib_19,-151.19,75,Epi
Polar_lib_2,43.08,85.02,Epi
Polar_lib_20,176.4,58.1,Meso
Polar_lib_21,176.4,58.1,Bathy
Polar_lib_22,4.01,70.2,Epi
Polar_lib_23,176.4,58.1,Meso
Polar_lib_24,-151.19,75,Bathy
Polar_lib_25,-46.99,56.33,Epi
Polar_lib_26,-110,-67.02,Meso
Polar_lib_27,-46.99,56.33,Bathy
Polar_lib_28,43.08,85.02,Epi
Polar_lib_29,4.01,70.2,Meso
Polar_lib_3,142.96,75.77,Epi
Polar_lib_30,43.08,85.02,Meso
Polar_lib_31,2.34,74.33,Epi
Polar_lib_32,111.08,84.6,Epi
Polar_lib_33,111.08,84.6,Epi
Polar_lib_34,111.08,84.6,Meso
Polar_lib_35,43.08,85.02,Bathy
Polar_lib_36,169.45,52.76,Meso
Polar_lib_37,161.52,80,Meso
Polar_lib_38,-121.22,70.21,Bathy
Polar_lib_39,-159.86,74.99,Epi
Polar_lib_4,-72.46,72.23,Epi
Polar_lib_40,73.61,-60.01,Epi
Polar_lib_41,-176.62,-58.03,Epi
Polar_lib_42,-112.73,-70.05,Epi
Polar_lib_43,173.02,-76.96,Epi
Polar_lib_44,125.22,-64.35,Epi
Polar_lib_45,70.56,-66.58,Epi
Polar_lib_46,12,78.95,Meso
Polar_lib_47,168.01,82.05,Meso
Polar_lib_48,168.01,82.05,Bathy
Polar_lib_49,168.01,82.05,Epi
Polar_lib_5,2.34,74.33,Epi
Polar_lib_50,-115.24,-69.94,Epi
Polar_lib_51,-115.24,-69.94,Meso
Polar_lib_52,-115.24,-69.94,Meso
Polar_lib_54,-120,-68.01,Epi
Polar_lib_53,-115.24,-69.94,Bathy
Polar_lib_55,-46.99,56.33,Meso
Polar_lib_56,168.01,82.05,Meso
Polar_lib_57,-120,-68.01,Bathy
Polar_lib_58,-89.29,-67.77,Epi
Polar_lib_59,-169,-70.75,Epi
Polar_lib_6,161.52,80,Meso
Polar_lib_60,-160.08,-70,Epi
Polar_lib_7,161.52,80,Meso
Polar_lib_8,-120,-68.01,Bathy
Polar_lib_9,4.01,70.2,Meso
TARA_004_DCM_0.22.1.6,-6.5669,36.5533,Epi
TARA_004_SRF_0.22.1.6,-6.5669,36.5533,Epi
TARA_007_DCM_0.22.1.6,1.9478,37.0541,Epi
TARA_007_SRF_0.22.1.6,1.9378,37.051,Epi
TARA_009_DCM_0.22.1.6,5.9422,39.0609,Epi
TARA_009_SRF_0.22.1.6,5.916,39.1633,Epi
TARA_018_DCM_0.22.1.6,14.2765,35.7528,Epi
TARA_018_SRF_0.22.1.6,14.2574,35.759,Epi
TARA_023_DCM_0.22.1.6,17.7252,42.1735,Epi
TARA_023_SRF_0.22.1.6,17.715,42.2038,Epi
TARA_025_DCM_0.22.1.6,19.3997,39.3991,Epi
TARA_025_SRF_0.22.1.6,19.3905,39.3888,Epi
TARA_030_DCM_0.22.1.6,32.8118,33.9235,Epi
TARA_030_SRF_0.22.1.6,32.898,33.9179,Epi
TARA_031_SRF_0.22.1.6,34.835,27.16,Epi
TARA_032_DCM_0.22.1.6,37.245,23.4183,Epi
TARA_032_SRF_0.22.1.6,37.2183,23.36,Epi
TARA_033_SRF_0.22.1.6,38.2517,21.9467,Epi
TARA_034_DCM_0.22.1.6,39.875,18.3967,Epi
TARA_034_SRF_0.22.1.6,39.8567,18.4417,Epi
TARA_036_DCM_0.22.1.6,63.5047,20.8183,Epi
TARA_036_SRF_0.22.1.6,63.5133,20.8222,Epi
TARA_037_MES_0.22.1.6,63.5851,20.8457,Meso
TARA_038_DCM_0.22.1.6,64.5638,19.0351,Epi
TARA_038_MES_0.22.1.6,64.4913,19.0393,Meso
TARA_038_SRF_0.22.1.6,64.5126,19.0284,Epi
TARA_039_DCM_0.22.1.6,66.3896,18.7341,Epi
TARA_039_MES_0.22.1.6,66.622,18.5918,Meso
TARA_041_DCM_0.22.1.6,69.9776,14.6059,Epi
TARA_041_SRF_0.22.1.6,70.0128,14.5536,Epi
TARA_042_DCM_0.22.1.6,73.9067,5.9998,Epi
TARA_042_SRF_0.22.1.6,73.8955,6.0001,Epi
TARA_045_SRF_0.22.1.6,71.6428,0.0033,Epi
TARA_048_SRF_0.22.1.6,66.4228,-9.3921,Epi
TARA_052_DCM_0.22.1.6,53.9601,-16.9534,Epi
TARA_052_SRF_0.22.1.6,53.9801,-16.957,Epi
TARA_056_MES_0.22.3,43.2948,-15.3379,Meso
TARA_056_SRF_0.22.3,43.2965,-15.3424,Epi
TARA_057_SRF_0.22.3,42.7401,-17.0248,Epi
TARA_058_DCM_0.22.3,42.2866,-17.2855,Epi
TARA_062_SRF_0.22.3,40.3412,-22.3368,Epi
TARA_064_DCM_0.22.3,37.9117,-29.5333,Epi
TARA_064_MES_0.22.3,37.9599,-29.5046,Meso
TARA_064_SRF_0.22.3,37.9889,-29.5019,Epi
TARA_065_DCM_0.22.3,37.9889,-29.5019,Epi
TARA_065_MES_0.22.3,26.3048,-35.2421,Meso
TARA_065_SRF_0.22.3,26.2868,-35.1728,Epi
TARA_066_DCM_0.22.3,26.2905,-35.1889,Epi
TARA_066_SRF_0.22.3,18.0459,-34.8901,Epi
TARA_067_SRF_0.22.3,17.9189,-34.9449,Epi
TARA_068_DCM_0.22.3,17.7103,-32.2401,Epi
TARA_068_MES_0.22.3,4.6802,-31.027,Meso
TARA_068_SRF_0.22.3,4.6685,-31.0198,Epi
TARA_070_MES_0.22.3,4.665,-31.0266,Meso
TARA_070_SRF_0.22.3,-3.1641,-20.4075,Epi
TARA_072_DCM_0.22.3,-3.1759,-20.4091,Epi
TARA_072_MES_0.22.3,-17.9604,-8.7296,Meso
TARA_072_SRF_0.22.3,-17.9034,-8.7986,Epi
TARA_076_DCM_0.22.3,-17.9099,-8.7789,Epi
TARA_076_MES_0.22.3,-35.3498,-21.0292,Meso
TARA_076_SRF_0.22.3,-35.1794,-20.9315,Epi
TARA_078_DCM_0.22.3,-35.1803,-20.9354,Epi
TARA_078_MES_0.22.3,-43.2705,-30.1484,Meso
TARA_078_SRF_0.22.3,-43.2899,-30.1367,Epi
TARA_082_DCM_0.22.3,-57.9446,-47.2007,Epi
TARA_082_SRF_0.22.3,-58.2902,-47.1863,Epi
TARA_084_SRF_0.22.3,-60.6476,-60.2287,Epi
TARA_085_DCM_0.22.3,-49.2139,-62.2231,Epi
TARA_085_MES_0.22.3,-49.5017,-61.9689,Meso
TARA_085_SRF_0.22.3,-49.529,-62.0385,Epi
TARA_093_DCM_0.22.3,-73.0537,-33.9116,Epi
TARA_093_SRF_0.22.3,-73.1066,-34.0614,Epi
TARA_094_SRF_0.22.3,-87.0693,-32.7971,Epi
TARA_096_SRF_0.22.3,-101.1604,-29.7238,Epi
TARA_098_DCM_0.22.3,-111.7294,-25.826,Epi
TARA_098_MES_0.22.3,-111.6906,-25.8076,Meso
TARA_098_SRF_0.22.3,-111.7202,-25.8051,Epi
TARA_099_SRF_0.22.3,-104.787,-21.146,Epi
TARA_100_DCM_0.22.3,-96.0122,-12.9723,Epi
TARA_100_MES_0.22.3,-95.9759,-13.0023,Meso
TARA_100_SRF_0.22.3,-85.2732,-5.2669,Epi
TARA_102_DCM_0.22.3,-85.1678,-5.261,Epi
TARA_102_MES_0.22.3,-85.1545,-5.2529,Meso
TARA_102_SRF_0.22.3,-84.5546,2.0299,Epi
TARA_109_DCM_0.22.3,-84.5546,2.0649,Epi
TARA_109_MES_0.22.3,-84.5766,1.9928,Meso
TARA_109_SRF_0.22.3,-84.5766,1.9928,Epi
TARA_110_DCM_0.22.3,-84.6265,-1.9002,Epi
TARA_110_MES_0.22.3,-84.6141,-1.8902,Meso
TARA_110_SRF_0.22.3,-84.589,-2.0133,Epi
TARA_111_DCM_0.22.3,-100.6751,-16.9587,Epi
TARA_111_MES_0.22.3,-100.6715,-16.9486,Meso
TARA_111_SRF_0.22.3,-100.6335,-16.9601,Epi
TARA_112_DCM_0.22.3,-129.4997,-23.2189,Epi
TARA_112_MES_0.22.3,-129.5986,-23.2232,Meso
TARA_112_SRF_0.22.3,-129.3947,-23.2811,Epi
TARA_122_DCM_0.22.3,-139.1394,-9.0063,Epi
TARA_122_MES_0.22.3,-139.2393,-8.9729,Meso
TARA_122_SRF_0.22.3,-139.1963,-8.9971,Epi
TARA_123_MIX_0.22.3,-140.2845,-8.9109,Epi
TARA_123_SRF_0.22.3,-140.283,-8.9068,Epi
TARA_124_MIX_0.22.3,-140.5973,-9.0714,Epi
TARA_124_SRF_0.22.3,-140.5216,-9.1504,Epi
TARA_125_MIX_0.22.3,-142.5461,-8.8999,Epi
TARA_125_SRF_0.22.3,-142.5571,-8.9111,Epi
TARA_128_DCM_0.22.3,-153.6858,0.0222,Epi
TARA_128_SRF_0.22.3,-153.6759,0.0003,Epi
TARA_132_DCM_0.22.3,-159.046,31.5168,Epi
TARA_132_MES_0.22.3,-159.0224,31.528,Meso
TARA_132_SRF_0.22.3,-158.9958,31.5213,Epi
TARA_133_DCM_0.22.3,-127.7499,35.4002,Epi
TARA_133_MES_0.22.3,-127.7268,35.2698,Meso
TARA_133_SRF_0.22.3,-127.7422,35.3671,Epi
TARA_137_DCM_0.22.3,-116.6468,14.2075,Epi
TARA_137_MES_0.22.3,-116.6433,14.2025,Meso
TARA_137_SRF_0.22.3,-116.6261,14.2035,Epi
TARA_138_DCM_0.22.3,-102.9538,6.3378,Epi
TARA_138_MES_0.22.3,-103.0598,6.3559,Meso
TARA_138_SRF_0.22.3,-102.9432,6.3332,Epi
TARA_140_SRF_0.22.3,-79.3017,7.4122,Epi
TARA_141_SRF_0.22.3,-80.0454,9.8481,Epi
TARA_142_DCM_0.22.3,-88.4532,25.6168,Epi
TARA_142_MES_0.22.3,-88.45,25.6236,Meso
TARA_142_SRF_0.22.3,-88.394,25.5264,Epi
TARA_145_MES_0.22.3,-70.0343,39.2392,Meso
TARA_145_SRF_0.22.3,-70.0377,39.2305,Epi
TARA_146_MES_0.22.3,-71.2907,34.6663,Meso
TARA_146_SRF_0.22.3,-71.3093,34.6712,Epi
TARA_148_SRF_0.22.3,-64.2489,31.6948,Epi
TARA_148b_MES_0.22.3,-56.9684,34.1504,Meso
TARA_149_MES_0.22.3,-49.8233,34.0771,Meso
TARA_149_SRF_0.22.3,-49.9181,34.1132,Epi
TARA_150_DCM_0.22.3,-37.1526,35.8427,Epi
TARA_150_SRF_0.22.3,-37.3032,35.9346,Epi
TARA_151_DCM_0.22.3,-28.9373,36.1811,Epi
TARA_151_SRF_0.22.3,-29.023,36.1715,Epi
TARA_152_MES_0.22.3,-16.8714,43.7182,Meso
TARA_152_MIX_0.22.3,-16.8794,43.7056,Epi
TARA_152_SRF_0.22.3,-16.8344,43.6792,Epi
